POST_API_Id,POST_API_addressTypeId,POST_API_riskId,POST_API_vesselId,POST_API_policyId,POST_API_memberPartyId,POST_API_ownerPartyId,POST_API_brokerPartyId,POST_API_version,POST_API_tradingCertificateTypeId,POST_API_tradingCertificateGroupId,POST_API_tradingCertificateGroupName,POST_API_tradingCertificateGroupCode,POST_API_stateAddressId,POST_API_ownerAddressId,POST_API_brokerAddressId,POST_API_memberAddressId,POST_API_jointAssuredAddressId
439,6,130179,130179,1044648,112673,0,1,2,1,1,null,null,586,588,587,589,590
440,5,130179,130179,1044648,112673,0,1,2,2,1,null,null,591,593,592,594,595
441,1,130179,130179,1044648,112673,0,1,2,3,1,null,null,596,598,597,599,600
442,4,130179,130179,1044648,112673,0,1,2,4,1,null,null,601,603,602,604,605
443,1,130179,130179,1044648,112673,0,1,1,5,1,null,null,606,608,607,609,610
444,5,130179,130179,1044648,112673,0,1,2,7,1,null,null,611,613,612,614,615
445,6,130179,130179,1044648,112673,0,1,2,8,2,null,null,616,618,617,619,620
446,3,130179,130179,1044648,112673,0,1,2,9,2,null,null,621,623,622,624,625
447,2,130179,130179,1044648,112673,0,1,2,10,2,null,null,626,628,627,629,630
448,7,130179,130179,1044648,112673,0,1,2,11,2,null,null,631,633,632,634,635
449,3,130179,130179,1044648,112673,0,1,2,12,3,null,null,636,638,637,639,640
450,5,130179,130179,1044648,112673,0,1,2,13,3,null,null,641,643,642,644,645
451,4,130179,130179,1044648,112673,0,1,2,14,3,null,null,646,648,647,649,650
452,2,130179,130179,1044648,112673,0,1,2,15,3,null,null,651,653,652,654,655
453,7,130179,130179,1044648,112673,0,1,2,16,3,null,null,656,658,657,659,660
454,3,130179,130179,1044648,112673,0,1,2,17,3,null,null,661,663,662,664,665
455,5,130179,130179,1044648,112673,0,1,2,19,3,null,null,666,668,667,669,670
456,2,130179,130179,1044648,112673,0,1,2,20,3,null,null,671,673,672,674,675
457,6,130179,130179,1044648,112673,0,1,2,21,3,null,null,676,678,677,679,680
458,3,130179,130179,1044648,112673,0,1,2,22,3,null,null,681,683,682,684,685
459,6,130179,130179,1044648,112673,0,1,2,23,3,null,null,686,688,687,689,690
460,5,130179,130179,1044648,112673,0,1,2,24,4,null,null,691,693,692,694,695
461,7,130179,130179,1044648,112673,0,1,2,25,1,null,null,696,698,697,699,700
462,2,130179,130179,1044648,112673,0,1,2,26,1,null,null,701,703,702,704,705
