POST_API_Id,GET_API_Id,POST_API_addressTypeId,GET_API_addressTypeId,POST_API_riskId,GET_API_vesselId,POST_API_policyId,GET_API_policyId,POST_API_memberPartyId,GET_API_memberPartyId,POST_API_ownerPartyId,GET_API_ownerPartyId,POST_API_brokerPartyId,GET_API_brokerPartyId,POST_API_version,GET_API_version,POST_API_tradingCertificateTypeId,GET_API_tradingCertificateTypeId,POST_API_tradingCertificateGroupId,GET_API_tradingCertificateGroupId,POST_API_tradingCertificateGroupName,GET_API_tradingCertificateGroupName,POST_API_tradingCertificateGroupCode,GET_API_tradingCertificateGroupCode,POST_API_stateAddressId,GET_API_stateAddressId,POST_API_ownerAddressId,GET_API_ownerAddressId,POST_API_brokerAddressId,GET_API_brokerAddressId,POST_API_memberAddressId,GET_API_memberAddressId,POST_API_jointAssuredAddressId,GET_API_jointAssuredAddressId,Result
414,414,5,5,130179,130179,1044648,1044648,112673,112673,0,0,1,1,2,2,1,1,1,1,null,null,null,null,461,461,463,463,462,462,464,464,465,465,Test Case Passed
415,415,1,1,130179,130179,1044648,1044648,112673,112673,0,0,1,1,2,2,2,2,1,1,null,null,null,null,466,466,468,468,467,467,469,469,470,470,Test Case Passed
416,416,2,2,130179,130179,1044648,1044648,112673,112673,0,0,1,1,2,2,3,3,1,1,null,null,null,null,471,471,473,473,472,472,474,474,475,475,Test Case Passed
417,417,3,3,130179,130179,1044648,1044648,112673,112673,0,0,1,1,2,2,4,4,1,1,null,null,null,null,476,476,478,478,477,477,479,479,480,480,Test Case Passed
418,418,2,2,130179,130179,1044648,1044648,112673,112673,0,0,1,1,2,2,6,6,1,1,null,null,null,null,481,481,483,483,482,482,484,484,485,485,Test Case Passed
419,419,5,5,130179,130179,1044648,1044648,112673,112673,0,0,1,1,2,2,7,7,1,1,null,null,null,null,486,486,488,488,487,487,489,489,490,490,Test Case Passed
420,420,2,2,130179,130179,1044648,1044648,112673,112673,0,0,1,1,2,2,8,8,2,2,null,null,null,null,491,491,493,493,492,492,494,494,495,495,Test Case Passed
421,421,7,7,130179,130179,1044648,1044648,112673,112673,0,0,1,1,2,2,9,9,2,2,null,null,null,null,496,496,498,498,497,497,499,499,500,500,Test Case Passed
422,422,1,1,130179,130179,1044648,1044648,112673,112673,0,0,1,1,2,2,10,10,2,2,null,null,null,null,501,501,503,503,502,502,504,504,505,505,Test Case Passed
423,423,1,1,130179,130179,1044648,1044648,112673,112673,0,0,1,1,2,2,11,11,2,2,null,null,null,null,506,506,508,508,507,507,509,509,510,510,Test Case Passed
424,424,5,5,130179,130179,1044648,1044648,112673,112673,0,0,1,1,2,2,12,12,3,3,null,null,null,null,511,511,513,513,512,512,514,514,515,515,Test Case Passed
425,425,6,6,130179,130179,1044648,1044648,112673,112673,0,0,1,1,2,2,13,13,3,3,null,null,null,null,516,516,518,518,517,517,519,519,520,520,Test Case Passed
426,426,5,5,130179,130179,1044648,1044648,112673,112673,0,0,1,1,2,2,14,14,3,3,null,null,null,null,521,521,523,523,522,522,524,524,525,525,Test Case Passed
427,427,1,1,130179,130179,1044648,1044648,112673,112673,0,0,1,1,2,2,15,15,3,3,null,null,null,null,526,526,528,528,527,527,529,529,530,530,Test Case Passed
428,428,3,3,130179,130179,1044648,1044648,112673,112673,0,0,1,1,2,2,16,16,3,3,null,null,null,null,531,531,533,533,532,532,534,534,535,535,Test Case Passed
429,429,1,1,130179,130179,1044648,1044648,112673,112673,0,0,1,1,2,2,17,17,3,3,null,null,null,null,536,536,538,538,537,537,539,539,540,540,Test Case Passed
430,430,1,1,130179,130179,1044648,1044648,112673,112673,0,0,1,1,2,2,18,18,3,3,null,null,null,null,541,541,543,543,542,542,544,544,545,545,Test Case Passed
431,431,6,6,130179,130179,1044648,1044648,112673,112673,0,0,1,1,2,2,19,19,3,3,null,null,null,null,546,546,548,548,547,547,549,549,550,550,Test Case Passed
432,432,2,2,130179,130179,1044648,1044648,112673,112673,0,0,1,1,2,2,20,20,3,3,null,null,null,null,551,551,553,553,552,552,554,554,555,555,Test Case Passed
433,433,6,6,130179,130179,1044648,1044648,112673,112673,0,0,1,1,2,2,21,21,3,3,null,null,null,null,556,556,558,558,557,557,559,559,560,560,Test Case Passed
434,434,1,1,130179,130179,1044648,1044648,112673,112673,0,0,1,1,2,2,22,22,3,3,null,null,null,null,561,561,563,563,562,562,564,564,565,565,Test Case Passed
435,435,7,7,130179,130179,1044648,1044648,112673,112673,0,0,1,1,2,2,23,23,3,3,null,null,null,null,566,566,568,568,567,567,569,569,570,570,Test Case Passed
436,436,7,7,130179,130179,1044648,1044648,112673,112673,0,0,1,1,2,2,24,24,4,4,null,null,null,null,571,571,573,573,572,572,574,574,575,575,Test Case Passed
437,437,4,4,130179,130179,1044648,1044648,112673,112673,0,0,1,1,2,2,25,25,1,1,null,null,null,null,576,576,578,578,577,577,579,579,580,580,Test Case Passed
438,438,5,5,130179,130179,1044648,1044648,112673,112673,0,0,1,1,2,2,26,26,1,1,null,null,null,null,581,581,583,583,582,582,584,584,585,585,Test Case Passed
